Rank,Team,Valuation (in billions)
1,GSW,8.8
2,NYK,7.5
3,LAL,7.1
4,BOS,6
5,LAC,5.5
6,CHI,5
7,HOU,4.9
8,BRK,4.8
9,DAL,4.7
10,PHI,4.6
11,TOR,4.4
12,PHO,4.3
13,MIA,4.25
14,WAS,4.1
15,MIL,4
16,CLE,3.95
17,DEN,3.9
18,SAS,3.85
19,ATL,3.8
20,SAC,3.7
21,OKC,3.65
22,IND,3.6
23,UTA,3.55
24,POR,3.5
25,DET,3.4
26,CHO,3.3
27,ORL,3.2
28,MIN,3.1
29,NOP,3.05
30,MEM,3
